UserName,Datetime,Tweet Id,Text
VeroArtistBlue,2020-10-25 23:54:35+00:00,1320514121310363648,"#trump is so delusional.....insane MF.

#60Minutes"
willthecolling,2020-10-25 23:54:31+00:00,1320514104679948289,Snowflake in Chief #60MinutesInterview #Trump
kaoconnor,2020-10-25 23:54:18+00:00,1320514052095909889,"#Trumpettes look like they fantasize about #Trump, blechh. https://t.co/JrepcQjYQl"
served_daily,2020-10-25 23:54:13+00:00,1320514030344155137,@BarackObama @JoeBiden It’s no joke. It’s not funny. How many more medals will Wartime President #Trump  be awarded for Making America Great Again? #COVID19 #covidwar #BidenHarris2020Landslide https://t.co/9wrnnpO8gf
iamashinybutton,2020-10-25 23:54:09+00:00,1320514013554507776,@thehill Why then is #Trump allowing incarcerated female asylum seekers to be surgically sterilised against their will?Is it because Pro-lifers are ALL ABOUT taking away women's right to make decisions about their own bodies?  I can see why that would appeal to an accused rapist.
conchi_gonzalez,2020-10-25 23:54:03+00:00,1320513988673810443,"@PoliticusSarah #Trump did a ""great"" job on #COVID killing people. https://t.co/0RG7holVDo"
BooksandRosesCo,2020-10-25 23:54:02+00:00,1320513982562664448,#Meadows #Trump are giving up on protecting Americans against #COVID19 💔 @Women4Biden @RepsForBiden @Vets4Biden @JoeForIA @MichiganDems @JoeForSC @JoeForNH @BidenForFL @ildemwmn @JoeMamas2020 @aldemocrats #VoteBidenHarrisToSaveAmerica @kmoxnews @SunSentinel https://t.co/HVUIJDCOwc
PeacockSecrets,2020-10-25 23:53:57+00:00,1320513963113607171,The herd (aka humanity) survives even though innumerable humans die... thats what herd immunity means. #Trump #TrumpSuperSpreader #TrumpSurrendersToCovid #TrumpSurrendered #superspreader #HerdImmunityIsMassMurder #HerdImmunity #WalterReed #covid19 #corona #TrumpCovid19 #TaskForce https://t.co/cIoiwuzDt3
FoolWhata,2020-10-25 23:53:56+00:00,1320513959661838342,"#trump on @CBS @60Minutes getting so angry when his lies are refuted — “I never said that” then they roll tape. 

What a giant baby @realDonaldTrump is. https://t.co/CXT8xAturg"
KOVO1029,2020-10-25 23:53:49+00:00,1320513929836220418,@HillaryClinton @MalcolmNance @JoeBiden #GOP does not know how to govern. They just want to get elected to so their pals continue to rip off America. #GOPSuperSpreaders #GOPCorruptionOverCountry #trump
RealMaryz,2020-10-25 23:53:44+00:00,1320513910412333056,I'm done taking medical advice from Donald #Trump. Asshole. #60MinutesInterview https://t.co/TFH9zzDTpp
delfonik,2020-10-25 23:53:43+00:00,1320513905433530371,@realDonaldTrump Vote #trump out - #2020Election #MAGA #MAGA2020 #VOTE #VoteBlueDownTheBallot #VoteBlueToSaveAmerica #Vote2020 https://t.co/pQymwYiTcQ
tcmassie,2020-10-25 23:53:39+00:00,1320513887968632832,#Trump sounds like a robot programmed to lie and to insult @LesleyRStahl on @60Minutes. The combination of narcissism and misogyny is par for the course for him. This interview will NOT help him. And that's a good thing. #VoteHimOut2020
igob4u2,2020-10-25 23:53:38+00:00,1320513882411143168,"🔥🔥
#Putin rejects #Trump's criticism of #Biden family business | Article [AMP] Reuters https://t.co/clhjqqzxye

🔥👆🔥
PLS REPORT
@MSNBC @NBCNews @CBSNews @abcnews @NewsHour @NPR @AP @HuffPost @Newsweek @Time @CNN @nytimes @nytimes @VanityFair @washingtonpost @WSJ @RawStory"
TripLangley,2020-10-26 23:59:50+00:00,1320877830796881920,"At least #Trump mostly tried to answer the actual questions Stahl posed to him, even if he meandered off topic or used them as segues to talk about what he wanted. Pence looked like he was on #DancingWithTheStars the way he moved around those questions! #60Minutes"
dfwprosportsjon,2020-10-26 23:59:47+00:00,1320877820298600450,If #Trump loses the 2020 election it will not be due to his policies. If #Biden wins the 2020 election it will not be due to his policies. I've never seen an election less connected to the issues. I understand but it's still very scary if paying attention to where this is going.
mastersinleadin,2020-10-26 23:59:45+00:00,1320877812492939266,@realDonaldTrump #Trump is losing.
TheLastLinda,2020-10-26 23:59:39+00:00,1320877786920308738,"Oh my God. 225,000+ dead, and #Trump’s playing #PhilCollins’ “In the Air Tonight” at his rallies to mock #COVID19. #Election2020 https://t.co/nk3FqDAvgr"
